Your Gender,Your age,Address type,Board of school education,Why did you choose your college?,Did you take any extra paid classes along with the course?,Your involvement in sports,Do you have internet access at home?,how do you plan your study time?,Which of the following do you use the most to study?,How would you rate your understanding in your subjects?,Do you want to take higher education?,How often do you use social media apps?,How often do you go out with friends?,"Last but not least,what is your CGPA(out of 10)?"
1,19,1,1,2,2,1,1,2,2,4,2,1,1,8.44
1,20,2,1,2,0,1,1,1,2,4,0,0,1,7.3
1,21,2,1,3,0,1,1,1,1,2,0,0,1,7.5
1,21,2,1,2,0,5,1,1,2,2,1,0,0,8.95
1,20,1,1,2,0,3,1,2,1,4,0,0,1,8.23
0,20,1,1,2,0,1,0,2,1,3,0,0,1,7.8
0,20,2,1,2,0,0,1,2,2,4,1,2,1,9
1,21,2,1,2,0,2,1,1,2,4,1,0,2,8.2
1,20,1,1,2,0,4,1,4,2,4,2,3,2,9.36
0,20,2,2,2,0,4,1,1,2,4,2,0,1,8.9
1,20,2,1,2,0,1,1,1,2,2,1,0,1,8.06
1,21,2,2,2,0,3,1,1,4,3,2,0,1,7.7
1,20,2,1,2,0,3,1,2,2,4,1,0,0,8
1,20,2,1,3,0,1,1,1,2,4,1,1,1,9.7
0,19,2,1,2,0,0,1,1,1,4,1,0,1,8.9
2,20,2,2,2,0,0,1,2,2,4,1,0,0,9.12
0,55,2,4,2,1,4,1,0,0,2,1,0,1,20
1,20,2,2,2,0,3,1,1,4,4,1,0,1,9.59
0,20,2,1,2,0,4,1,2,3,3,1,1,0,7.8
1,20,1,2,2,0,2,1,1,1,3,1,0,1,8.45
0,20,2,1,2,0,1,1,1,4,3,1,0,1,8.95
0,20,2,1,2,0,0,1,1,1,2,0,0,1,9.4
1,20,2,1,2,0,5,1,2,2,4,1,0,2,9.1
0,20,2,1,2,0,2,1,2,3,4,2,0,1,8.42
1,18,2,1,2,0,2,1,1,3,2,1,0,2,8.2
2,20,2,1,2,0,1,1,4,4,4,2,1,1,8
1,19,2,1,2,0,1,1,1,2,1,0,0,1,7.3
0,20,2,4,2,2,3,1,1,1,3,2,0,0,7.2
1,20,2,1,3,0,2,1,2,2,4,2,2,1,8.2
0,19,1,1,3,1,2,1,1,3,4,1,1,1,8
1,19,1,1,2,0,1,0,1,3,3,0,0,1,9.08
1,20,2,1,2,0,3,1,1,2,4,2,0,0,8
1,21,2,1,3,0,5,1,0,0,0,0,0,1,0
0,20,2,1,3,2,2,1,3,2,5,1,1,1,8.5
1,20,1,1,3,0,2,1,2,4,4,0,1,0,9.7
0,22,1,1,3,0,5,1,1,4,3,0,0,0,9
0,24,1,1,3,2,4,1,4,4,4,2,1,1,8
1,23,1,1,2,0,0,1,1,2,4,0,0,2,9.1
0,21,1,2,3,0,5,0,2,4,3,2,0,2,8
1,22,2,1,3,0,0,1,1,3,3,0,1,1,6.2
2,77,2,1,2,0,0,1,1,2,3,1,1,2,11
1,22,2,1,2,2,3,1,2,3,3,0,1,1,7.3
0,21,1,1,3,0,3,1,2,3,3,0,1,1,6.8
0,22,2,1,1,0,1,1,1,3,4,0,1,1,6.86
0,21,1,1,3,0,0,1,2,3,5,2,0,1,8.7
0,22,2,1,3,0,1,1,1,4,4,2,0,1,7.2
0,22,2,1,3,0,1,1,2,3,3,0,1,1,6.5
1,22,2,1,3,0,5,1,2,4,4,1,0,0,8
1,20,2,2,2,0,3,1,3,4,4,0,0,2,7
0,21,1,1,3,1,1,0,2,3,5,1,1,1,7.728
0,19,1,1,1,2,0,1,4,4,2,2,1,1,7.17
1,24,1,1,1,0,0,0,2,4,1,0,1,1,6.4
0,21,1,4,1,0,4,1,2,3,4,0,1,2,8
1,23,2,1,1,2,5,0,1,3,2,0,1,0,6.4
0,22,2,1,1,0,3,1,1,4,3,2,0,0,7
0,22,1,1,3,2,3,1,3,3,5,2,0,1,7
0,20,2,1,3,2,0,1,3,4,3,1,3,3,6
0,23,2,2,1,0,2,0,2,4,3,2,1,1,7.2
1,22,2,1,3,0,4,1,3,4,3,1,0,0,6.51
0,22,1,1,2,0,1,1,1,2,2,0,0,1,5.6
0,21,2,3,3,1,3,1,4,4,4,2,0,0,9
0,22,1,1,3,0,5,1,4,4,5,2,1,1,10
0,22,2,1,2,0,0,1,2,2,4,0,1,1,8
0,19,1,1,3,0,3,1,3,4,4,1,1,2,8
1,22,2,1,3,0,2,0,1,1,2,0,2,1,8
0,23,1,1,1,2,0,1,2,3,3,0,1,1,7.23
1,20,1,1,2,2,1,0,2,4,4,0,1,2,6.3
0,20,2,1,2,0,4,1,2,4,5,0,0,1,6.7
0,22,2,1,1,0,3,1,4,4,3,1,0,1,7.14
0,19,1,1,3,0,2,1,2,3,2,0,1,2,6.5
0,19,2,4,3,1,3,1,0,3,4,1,0,1,7.3
0,25,1,1,2,0,0,1,1,3,3,1,0,2,8.11
0,20,1,1,3,0,3,0,3,2,5,2,1,1,8.41
0,22,2,2,1,0,2,1,1,1,3,1,0,0,8.54
0,21,1,1,3,0,4,0,2,4,4,0,0,1,7
1,18,1,1,1,0,2,1,4,3,4,2,1,0,8.1
0,22,2,1,1,0,1,1,3,4,3,1,0,2,6.92
0,22,2,2,1,0,3,1,2,3,4,2,0,1,9
0,22,2,2,3,0,2,1,3,3,4,2,1,2,7.8
0,22,2,2,2,0,3,1,2,3,4,0,0,1,7.9
0,19,1,1,3,0,1,0,2,4,2,0,2,1,5.5
0,21,2,1,1,2,5,1,2,4,4,1,0,1,7.5
0,21,2,1,3,0,3,1,1,4,4,1,1,0,6.8
0,22,2,1,3,0,0,1,1,4,3,0,1,1,7.3
0,23,2,1,1,2,2,1,1,3,3,1,0,1,7.77
0,21,2,1,3,0,2,1,2,4,3,1,0,0,7.23
1,22,2,1,1,0,5,0,1,2,5,0,2,2,7
0,19,2,4,3,0,5,1,2,3,5,2,1,1,7.46
0,23,2,3,3,0,2,1,1,4,4,1,0,1,7.8
1,23,2,1,3,0,0,1,1,2,5,1,0,1,6.54
1,21,1,1,3,0,0,1,1,3,2,0,2,1,6.71
0,22,1,1,3,2,5,1,2,3,5,2,0,1,7.2
0,22,2,1,3,2,0,1,2,2,4,1,0,1,6.7
1,28,2,4,3,0,5,0,1,1,4,2,1,0,6.5
0,22,1,1,3,0,0,1,1,3,3,1,1,1,7.2
1,24,1,1,1,0,3,1,1,1,3,0,1,1,7.5
0,24,2,2,2,0,0,1,3,4,3,1,0,2,7.9
0,24,2,3,2,2,4,1,1,1,4,2,0,1,0
0,21,2,1,1,0,2,1,2,3,4,0,1,1,7.05
1,24,2,1,2,0,3,1,2,1,3,0,0,1,6.45
1,29,2,4,2,0,5,1,1,1,4,2,0,0,7
0,20,2,1,3,2,2,1,1,3,4,1,0,1,7.4
0,22,2,2,2,0,1,1,2,3,4,2,0,1,8
0,22,2,1,2,2,2,1,3,3,4,1,0,1,6.95
0,22,1,1,1,2,0,1,1,2,3,2,0,1,8.6
1,20,2,1,2,0,2,1,1,1,3,1,0,1,8.5
0,22,1,1,3,0,0,1,3,4,3,0,1,1,6.65
1,20,2,1,2,0,5,1,1,1,3,0,0,0,8.1
0,22,1,1,3,0,0,0,2,3,3,2,1,1,6.4
1,21,2,1,3,0,1,0,2,4,4,0,2,1,6.54
0,21,1,1,2,0,1,1,2,3,4,2,2,1,8
1,23,1,1,3,1,3,1,1,2,4,1,1,1,6.6
0,21,2,1,2,2,4,1,1,3,5,1,0,2,7
1,23,1,1,3,0,2,1,1,2,4,0,0,1,7.77
1,19,2,1,2,0,3,1,1,1,3,1,0,0,8.9
0,20,1,1,3,0,0,1,1,2,3,1,1,1,9
1,21,1,1,1,2,4,1,1,2,3,0,1,0,6.64
0,21,1,1,3,0,2,1,1,2,3,1,0,1,7.9
1,22,2,1,1,0,4,0,2,3,4,0,1,2,6.52
1,24,2,1,3,0,4,1,1,2,3,0,1,1,8
0,22,2,1,2,2,0,1,1,1,3,1,1,1,6.47
1,20,1,1,3,0,5,0,3,3,3,0,1,1,7
0,22,1,1,3,0,2,1,4,3,4,0,1,3,75
1,21,1,1,3,0,0,0,1,1,3,0,1,1,6
0,21,1,1,2,0,2,1,3,3,4,1,1,1,7
1,20,2,1,2,0,2,1,2,4,4,1,2,1,8.57
0,22,2,1,1,0,5,1,1,3,4,0,1,1,7.8
0,22,2,1,3,2,4,1,2,3,3,0,1,2,6.3
0,22,2,1,3,0,3,1,2,3,5,1,2,1,7.97
0,20,2,1,3,2,3,1,1,3,4,2,0,1,9
0,21,2,1,2,0,3,0,3,2,3,2,0,1,8
1,23,2,1,3,0,0,1,1,2,3,1,0,1,7.6
0,20,1,1,1,0,3,0,1,0,5,2,1,3,10
0,22,2,1,3,0,0,0,2,2,2,1,0,1,7.03
1,25,2,1,2,0,2,0,2,3,3,1,0,2,7.84
0,22,2,1,3,0,0,0,2,4,3,1,0,2,7.97
1,20,1,1,1,0,1,0,1,1,2,0,1,2,7.5
0,23,2,1,3,1,1,1,2,3,4,1,0,1,6.9
0,20,1,1,3,2,2,0,1,4,4,1,1,1,7.5
0,22,2,1,3,0,4,0,3,4,4,1,0,1,7.24
1,22,2,1,3,1,3,1,2,1,3,1,1,2,6.51
0,22,2,1,2,0,2,1,1,2,5,0,0,1,8.1
0,21,2,2,1,2,2,1,2,3,4,2,0,0,10
0,23,1,4,2,0,0,1,2,1,2,0,1,1,7.5
0,22,1,1,1,0,2,1,1,3,4,0,1,1,6.59
1,20,1,1,2,1,0,1,1,3,3,0,0,0,8
1,30,2,1,2,0,3,1,1,2,3,2,0,0,8.5
0,25,2,1,2,1,1,1,2,3,3,1,1,1,9
0,22,1,1,2,0,2,1,1,4,3,2,2,0,7
0,21,1,1,3,0,2,1,1,1,4,1,1,1,8
0,21,1,1,3,0,2,1,1,3,4,0,1,1,8
0,20,2,2,3,0,1,1,1,1,3,2,0,0,8.5
0,22,2,1,1,0,2,1,1,4,4,0,0,1,7.02
1,19,2,1,2,0,0,1,1,2,2,1,0,1,7.9
0,20,2,2,3,0,0,1,2,2,4,1,0,1,8
1,19,1,1,1,2,5,1,1,2,2,1,1,1,6
0,22,2,1,2,0,5,1,2,4,3,0,0,0,72
1,20,2,1,2,0,2,1,0,1,1,1,0,3,7
1,21,2,1,3,1,0,1,0,0,5,1,1,0,7
0,22,1,2,1,0,1,1,1,3,4,0,1,2,8
0,21,1,1,1,0,0,1,2,4,5,1,1,1,7.1
0,21,1,1,3,0,3,0,2,4,4,1,1,1,6.9
0,22,2,1,3,2,5,1,1,3,4,2,1,0,8.2
0,24,1,1,3,0,3,1,1,3,5,0,1,2,8.6
